link_stub,rank,title,lifetime_gross,year,actor_actress
/title/tt2488496/?ref_=bo_cso_table_1,1,Star Wars: Episode VII - The Force Awakens,"$936,662,225",2015,Daisy Ridley
/title/tt4154796/?ref_=bo_cso_table_2,2,Avengers: Endgame,"$858,373,000",2019,Robert Downey Jr.
/title/tt0499549/?ref_=bo_cso_table_3,3,Avatar,"$760,507,625",2009,Sam Worthington
/title/tt1825683/?ref_=bo_cso_table_4,4,Black Panther,"$700,426,566",2018,Chadwick Boseman
/title/tt4154756/?ref_=bo_cso_table_5,5,Avengers: Infinity War,"$678,815,482",2018,Robert Downey Jr.
/title/tt0120338/?ref_=bo_cso_table_6,6,Titanic,"$659,363,944",1997,Leonardo DiCaprio
/title/tt0369610/?ref_=bo_cso_table_7,7,Jurassic World,"$652,385,625",2015,Chris Pratt
/title/tt0848228/?ref_=bo_cso_table_8,8,The Avengers,"$623,357,910",2012,Robert Downey Jr.
/title/tt2527336/?ref_=bo_cso_table_9,9,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",2017,Daisy Ridley
/title/tt3606756/?ref_=bo_cso_table_10,10,Incredibles 2,"$608,581,744",2018,Craig T. Nelson
/title/tt6105098/?ref_=bo_cso_table_11,11,The Lion King,"$543,638,043",2019,Donald Glover
/title/tt0468569/?ref_=bo_cso_table_12,12,The Dark Knight,"$534,858,444",2008,Christian Bale
/title/tt3748528/?ref_=bo_cso_table_13,13,Rogue One: A Star Wars Story,"$532,177,324",2016,Felicity Jones
/title/tt2527338/?ref_=bo_cso_table_14,14,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542",2019,Daisy Ridley
/title/tt2771200/?ref_=bo_cso_table_15,15,Beauty and the Beast,"$504,481,165",2017,Emma Watson
/title/tt2277860/?ref_=bo_cso_table_16,16,Finding Dory,"$486,295,561",2016,Ellen DeGeneres
/title/tt4520988/?ref_=bo_cso_table_17,17,Frozen II,"$477,373,578",2019,Kristen Bell
/title/tt0120915/?ref_=bo_cso_table_18,18,Star Wars: Episode I - The Phantom Menace,"$474,544,677",1999,Ewan McGregor
/title/tt0076759/?ref_=bo_cso_table_19,19,Star Wars: Episode IV - A New Hope,"$460,998,507",1977,Mark Hamill
/title/tt2395427/?ref_=bo_cso_table_20,20,Avengers: Age of Ultron,"$459,005,868",2015,Robert Downey Jr.
/title/tt1345836/?ref_=bo_cso_table_21,21,The Dark Knight Rises,"$448,139,099",2012,Christian Bale
/title/tt0298148/?ref_=bo_cso_table_22,22,Shrek 2,"$441,226,247",2004,Mike Myers
/title/tt0083866/?ref_=bo_cso_table_23,23,E.T. the Extra-Terrestrial,"$435,110,554",1982,Henry Thomas
/title/tt1979376/?ref_=bo_cso_table_24,24,Toy Story 4,"$434,038,008",2019,Tom Hanks
/title/tt4154664/?ref_=bo_cso_table_25,25,Captain Marvel,"$426,829,839",2019,Brie Larson
/title/tt1951264/?ref_=bo_cso_table_26,26,The Hunger Games: Catching Fire,"$424,668,047",2013,Jennifer Lawrence
/title/tt0383574/?ref_=bo_cso_table_27,27,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812",2006,Johnny Depp
/title/tt0110357/?ref_=bo_cso_table_28,28,The Lion King,"$422,783,777",1994,Matthew Broderick
/title/tt4881806/?ref_=bo_cso_table_29,29,Jurassic World: Fallen Kingdom,"$417,719,760",2018,Chris Pratt
/title/tt0435761/?ref_=bo_cso_table_30,30,Toy Story 3,"$415,004,880",2010,Tom Hanks
/title/tt0451279/?ref_=bo_cso_table_31,31,Wonder Woman,"$412,815,408",2017,Gal Gadot
/title/tt1300854/?ref_=bo_cso_table_32,32,Iron Man 3,"$409,013,994",2013,Robert Downey Jr.
/title/tt3498820/?ref_=bo_cso_table_33,33,Captain America: Civil War,"$408,084,349",2016,Chris Evans
/title/tt1392170/?ref_=bo_cso_table_34,34,The Hunger Games,"$408,010,692",2012,Jennifer Lawrence
/title/tt0145487/?ref_=bo_cso_table_35,35,Spider-Man,"$407,022,860",2002,Tobey Maguire
/title/tt2283362/?ref_=bo_cso_table_36,36,Jumanji: Welcome to the Jungle,"$404,540,171",2017,Dwayne Johnson
/title/tt0107290/?ref_=bo_cso_table_37,37,Jurassic Park,"$404,214,720",1993,Sam Neill
/title/tt1055369/?ref_=bo_cso_table_38,38,Transformers: Revenge of the Fallen,"$402,111,870",2009,Shia LaBeouf
/title/tt2294629/?ref_=bo_cso_table_39,39,Frozen,"$400,953,009",2013,Kristen Bell
/title/tt6320628/?ref_=bo_cso_table_40,40,Spider-Man: Far from Home,"$390,532,085",2019,Tom Holland
/title/tt3896198/?ref_=bo_cso_table_41,41,Guardians of the Galaxy Vol. 2,"$389,813,101",2017,Chris Pratt
/title/tt1201607/?ref_=bo_cso_table_42,42,Harry Potter and the Deathly Hallows: Part 2,"$381,409,310",2011,Daniel Radcliffe
/title/tt0266543/?ref_=bo_cso_table_43,43,Finding Nemo,"$380,843,261",2003,Albert Brooks
/title/tt0121766/?ref_=bo_cso_table_44,44,Star Wars: Episode III - Revenge of the Sith,"$380,270,577",2005,Hayden Christensen
/title/tt0167260/?ref_=bo_cso_table_45,45,The Lord of the Rings: The Return of the King,"$377,845,905",2003,Elijah Wood
/title/tt0316654/?ref_=bo_cso_table_46,46,Spider-Man 2,"$373,585,825",2004,Tobey Maguire
/title/tt0335345/?ref_=bo_cso_table_47,47,The Passion of the Christ,"$370,782,930",2004,Jim Caviezel
/title/tt2709768/?ref_=bo_cso_table_48,48,The Secret Life of Pets,"$368,384,330",2016,Louis C.K.
/title/tt1690953/?ref_=bo_cso_table_49,49,Despicable Me 2,"$368,065,385",2013,Steve Carell
/title/tt3040964/?ref_=bo_cso_table_50,50,The Jungle Book,"$364,001,123",2016,Neel Sethi
/title/tt1431045/?ref_=bo_cso_table_51,51,Deadpool,"$363,070,709",2016,Ryan Reynolds
/title/tt2096673/?ref_=bo_cso_table_52,52,Inside Out,"$356,921,711",2015,Amy Poehler
/title/tt6139732/?ref_=bo_cso_table_53,53,Aladdin,"$355,559,216",2019,Will Smith
/title/tt2820852/?ref_=bo_cso_table_54,54,Furious 7,"$353,007,020",2015,Vin Diesel
/title/tt1399103/?ref_=bo_cso_table_55,55,Transformers: Dark of the Moon,"$352,390,543",2011,Shia LaBeouf
/title/tt2179136/?ref_=bo_cso_table_56,56,American Sniper,"$350,126,372",2014,Bradley Cooper
/title/tt0167261/?ref_=bo_cso_table_57,57,The Lord of the Rings: The Two Towers,"$342,551,365",2002,Elijah Wood
/title/tt2948356/?ref_=bo_cso_table_58,58,Zootopia,"$341,268,248",2016,Ginnifer Goodwin
/title/tt1951265/?ref_=bo_cso_table_59,59,The Hunger Games: Mockingjay - Part 1,"$337,135,885",2014,Jennifer Lawrence
/title/tt0413300/?ref_=bo_cso_table_60,60,Spider-Man 3,"$336,530,303",2007,Tobey Maguire
/title/tt2293640/?ref_=bo_cso_table_61,61,Minions,"$336,045,770",2015,Sandra Bullock
/title/tt7286456/?ref_=bo_cso_table_62,62,Joker,"$335,451,311",2019,Joaquin Phoenix
/title/tt1477834/?ref_=bo_cso_table_63,63,Aquaman,"$335,061,807",2018,Jason Momoa
/title/tt2250912/?ref_=bo_cso_table_64,64,Spider-Man: Homecoming,"$334,201,140",2017,Tom Holland
/title/tt1014759/?ref_=bo_cso_table_65,65,Alice in Wonderland,"$334,191,110",2010,Mia Wasikowska
/title/tt2015381/?ref_=bo_cso_table_66,66,Guardians of the Galaxy,"$333,718,600",2014,Chris Pratt
/title/tt0109830/?ref_=bo_cso_table_67,67,Forrest Gump,"$330,455,270",1994,Tom Hanks
/title/tt2975590/?ref_=bo_cso_table_68,68,Batman v Superman: Dawn of Justice,"$330,360,194",2016,Ben Affleck
/title/tt1396484/?ref_=bo_cso_table_69,69,It,"$328,828,874",2017,Bill Skarsgård
